genre,total_bookings,total_revenue,avg_ticket_price,min_ticket_price,max_ticket_price
Adventure,190,2967.0,15.62,12.5,18.5
Action,136,2158.5,15.87,12.5,18.5
Comedy,71,1062.5,14.96,12.5,18.5
Animation,69,1038.5,15.05,12.5,18.5
Sci-Fi,65,1018.0,15.66,12.5,18.5
Drama,54,835.5,15.47,12.5,18.5
Fantasy,23,370.0,16.09,12.5,18.5
Thriller,20,321.5,16.07,12.5,18.5
Crime,18,274.5,15.25,12.5,18.5
Horror,12,182.0,15.17,12.5,18.5
Family,12,174.5,14.54,12.5,18.5
Mystery,4,70.5,17.62,15.0,18.5
Romance,3,46.0,15.33,12.5,18.5
Western,3,43.5,14.5,12.5,18.5
History,2,33.5,16.75,15.0,18.5
Music,1,18.5,18.5,18.5,18.5
