event_id,movie_title,hall_name,screen_time,booked_seats,available_seats,total_capacity,occupancy_percentage
53,Bohemian Rhapsody,Hall 2,2026-05-26 11:00:00,0,88,88,0.0
92,The Lion King,IMAX Theatre,2026-05-26 11:30:00,0,138,138,0.0
74,Star Wars: Episode VI - Return of the Jedi,Hall 4 (VIP),2026-05-26 11:30:00,1,29,30,3.33
129,Big Hero 6,Hall 4 (VIP),2026-05-26 11:30:00,1,76,77,1.3
56,Star Wars: Episode VII - The Force Awakens,Hall 2,2026-05-26 13:00:00,3,4,7,42.86
137,Ratatouille,Hall 1 (Dolby Atmos),2026-05-26 14:30:00,2,65,67,2.99
91,Back to the Future,Hall 3,2026-05-26 16:00:00,1,146,147,0.68
70,Harry Potter and the Half-Blood Prince,Hall 2,2026-05-26 19:30:00,1,150,151,0.66
90,The Exorcist,Hall 2,2026-05-26 20:00:00,1,27,28,3.57
33,The Lion King,Hall 3,2026-05-26 20:30:00,1,0,1,100.0
103,The Martian,IMAX Theatre,2026-05-27 13:00:00,1,59,60,1.67
85,Zootopia,Hall 4 (VIP),2026-05-27 13:30:00,2,146,148,1.35
26,Toy Story 3,Hall 1 (Dolby Atmos),2026-05-27 14:00:00,1,103,104,0.96
116,Gladiator,IMAX Theatre,2026-05-27 14:30:00,4,120,124,3.23
52,Inception,Hall 1 (Dolby Atmos),2026-05-27 16:00:00,1,83,84,1.19
20,Ghostbusters,Hall 1 (Dolby Atmos),2026-05-27 17:00:00,0,44,44,0.0
7,Iron Man,Hall 2,2026-05-27 19:30:00,1,117,118,0.85
58,Shrek,Hall 1 (Dolby Atmos),2026-05-27 22:30:00,1,149,150,0.67
139,Ocean's Eleven,Hall 2,2026-05-28 11:00:00,0,137,137,0.0
101,Coco,IMAX Theatre,2026-05-28 13:00:00,0,58,58,0.0
34,Zootopia,Hall 4 (VIP),2026-05-28 17:30:00,2,64,66,3.03
37,Thor: Ragnarok,IMAX Theatre,2026-05-28 20:00:00,1,11,12,8.33
31,Big Hero 6,IMAX Theatre,2026-05-28 22:00:00,0,53,53,0.0
65,Star Trek Into Darkness,Hall 3,2026-05-28 22:30:00,3,103,106,2.83
112,X-Men: Days of Future Past,Hall 4 (VIP),2026-05-28 22:30:00,1,2,3,33.33
68,Inception,Hall 4 (VIP),2026-05-29 11:00:00,1,118,119,0.84
150,The Lego Movie,Hall 3,2026-05-29 11:00:00,1,103,104,0.96
54,The Lord of the Rings: The Return of the King,Hall 4 (VIP),2026-05-29 14:30:00,2,24,26,7.69
62,Mission: Impossible - Fallout,IMAX Theatre,2026-05-29 16:00:00,1,94,95,1.05
3,Dunkirk,Hall 3,2026-05-29 16:00:00,2,30,32,6.25
89,Guardians of the Galaxy,Hall 2,2026-05-29 16:00:00,1,103,104,0.96
42,Skyfall,Hall 2,2026-05-29 16:00:00,2,2,4,50.0
104,Incredibles 2,Hall 2,2026-05-29 17:00:00,2,86,88,2.27
17,Despicable Me,Hall 4 (VIP),2026-05-29 19:30:00,3,48,51,5.88
24,Zootopia,Hall 2,2026-05-29 19:30:00,1,71,72,1.39
144,The Fugitive,Hall 3,2026-05-29 20:00:00,3,24,27,11.11
32,Gladiator,Hall 4 (VIP),2026-05-29 20:00:00,1,109,110,0.91
121,Harry Potter and the Half-Blood Prince,Hall 4 (VIP),2026-05-30 16:30:00,0,12,12,0.0
99,Aladdin,Hall 4 (VIP),2026-05-30 20:00:00,3,97,100,3.0
5,X-Men: Days of Future Past,Hall 2,2026-05-31 11:00:00,2,51,53,3.77
30,Aladdin,Hall 4 (VIP),2026-05-31 13:30:00,5,56,61,8.2
148,Star Trek,Hall 2,2026-05-31 14:00:00,2,138,140,1.43
97,Toy Story,Hall 1 (Dolby Atmos),2026-05-31 16:30:00,1,49,50,2.0
22,Toy Story 4,Hall 3,2026-05-31 17:00:00,1,62,63,1.59
145,Sherlock Holmes,IMAX Theatre,2026-05-31 20:30:00,0,133,133,0.0
12,Incredibles 2,Hall 1 (Dolby Atmos),2026-05-31 20:30:00,1,121,122,0.82
72,Mission: Impossible - Fallout,Hall 4 (VIP),2026-05-31 22:00:00,2,139,141,1.42
119,The Revenant,Hall 3,2026-06-01 13:30:00,1,61,62,1.61
79,Thor: Ragnarok,Hall 4 (VIP),2026-06-01 14:00:00,3,58,61,4.92
149,Despicable Me,IMAX Theatre,2026-06-01 14:30:00,1,121,122,0.82
10,Star Trek,Hall 4 (VIP),2026-06-01 14:30:00,1,25,26,3.85
47,Batman Begins,Hall 2,2026-06-01 16:00:00,1,104,105,0.95
73,Aladdin,IMAX Theatre,2026-06-01 16:00:00,2,80,82,2.44
87,Harry Potter and the Deathly Hallows: Part 2,Hall 3,2026-06-01 16:30:00,3,89,92,3.26
2,Sherlock Holmes,Hall 1 (Dolby Atmos),2026-06-01 17:30:00,1,40,41,2.44
107,Dances with Wolves,Hall 3,2026-06-01 20:00:00,2,47,49,4.08
18,Spider-Man: Into the Spider-Verse,IMAX Theatre,2026-06-01 20:30:00,5,104,109,4.59
96,Pirates of the Caribbean: The Curse of the Black Pearl,Hall 1 (Dolby Atmos),2026-06-01 22:00:00,3,139,142,2.11
126,Indiana Jones and the Last Crusade,Hall 2,2026-06-01 22:30:00,1,105,106,0.94
50,Gravity,Hall 1 (Dolby Atmos),2026-06-02 17:30:00,1,17,18,5.56
105,Iron Man,Hall 1 (Dolby Atmos),2026-06-02 19:30:00,2,15,17,11.76
100,X-Men: Days of Future Past,Hall 3,2026-06-02 22:00:00,1,83,84,1.19
29,Inception,Hall 4 (VIP),2026-06-03 11:00:00,4,128,132,3.03
28,Terminator 2: Judgment Day,Hall 4 (VIP),2026-06-03 11:00:00,1,119,120,0.83
141,The Exorcist,IMAX Theatre,2026-06-03 13:00:00,3,100,103,2.91
143,Titanic,Hall 1 (Dolby Atmos),2026-06-03 13:00:00,0,111,111,0.0
48,Iron Man,Hall 1 (Dolby Atmos),2026-06-03 13:30:00,5,75,80,6.25
77,Star Wars: Episode VII - The Force Awakens,Hall 1 (Dolby Atmos),2026-06-03 14:30:00,2,93,95,2.11
98,Rain Man,Hall 2,2026-06-03 16:30:00,1,62,63,1.59
83,The Lord of the Rings: The Return of the King,Hall 2,2026-06-03 16:30:00,6,87,93,6.45
124,Indiana Jones and the Last Crusade,Hall 1 (Dolby Atmos),2026-06-03 19:30:00,2,24,26,7.69
