movie_id,poster_link,series_title,released_year,runtime_in_min,genre,overview,revenue,credits
1,"https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_UX67_CR0,0,67,98_AL_.jpg",Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",936662225.0,"{""director"": ""J.J. Abrams"", ""cast"": [""Daisy Ridley"", ""John Boyega"", ""Oscar Isaac"", ""Domhnall Gleeson""]}"
2,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Avengers: Endgame,2019,181,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",858373000.0,"{""director"": ""Anthony Russo"", ""cast"": [""Joe Russo"", ""Robert Downey Jr."", ""Chris Evans"", ""Mark Ruffalo""]}"
3,"https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Avatar,2009,162,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,760507625.0,"{""director"": ""James Cameron"", ""cast"": [""Sam Worthington"", ""Zoe Saldana"", ""Sigourney Weaver"", ""Michelle Rodriguez""]}"
4,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX67_CR0,0,67,98_AL_.jpg",Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,678815482.0,"{""director"": ""Anthony Russo"", ""cast"": [""Joe Russo"", ""Robert Downey Jr."", ""Chris Hemsworth"", ""Mark Ruffalo""]}"
5,"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",Titanic,1997,194,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",659325379.0,"{""director"": ""James Cameron"", ""cast"": [""Leonardo DiCaprio"", ""Kate Winslet"", ""Billy Zane"", ""Kathy Bates""]}"
6,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Avengers,2012,143,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,623279547.0,"{""director"": ""Joss Whedon"", ""cast"": [""Robert Downey Jr."", ""Chris Evans"", ""Scarlett Johansson"", ""Jeremy Renner""]}"
7,"https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_UX67_CR0,0,67,98_AL_.jpg",Incredibles 2,2018,118,"Animation, Action, Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,608581744.0,"{""director"": ""Brad Bird"", ""cast"": [""Craig T. Nelson"", ""Holly Hunter"", ""Sarah Vowell"", ""Huck Milner""]}"
8,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,2008,152,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",534858444.0,"{""director"": ""Christopher Nolan"", ""cast"": [""Christian Bale"", ""Heath Ledger"", ""Aaron Eckhart"", ""Michael Caine""]}"
9,"https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Rogue One,2016,133,"Action, Adventure, Sci-Fi",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,532177324.0,"{""director"": ""Gareth Edwards"", ""cast"": [""Felicity Jones"", ""Diego Luna"", ""Alan Tudyk"", ""Donnie Yen""]}"
10,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight Rises,2012,164,"Action, Adventure","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",448139099.0,"{""director"": ""Christopher Nolan"", ""cast"": [""Christian Bale"", ""Tom Hardy"", ""Anne Hathaway"", ""Gary Oldman""]}"
