session_id,movie_id,screen_time,hall_name,available_seats
53,77,2026-05-26 11:00:00,Hall 2,88
92,13,2026-05-26 11:30:00,IMAX Theatre,138
74,34,2026-05-26 11:30:00,Hall 4 (VIP),29
129,71,2026-05-26 11:30:00,Hall 4 (VIP),76
56,1,2026-05-26 13:00:00,Hall 2,4
137,85,2026-05-26 14:30:00,Hall 1 (Dolby Atmos),65
91,80,2026-05-26 16:00:00,Hall 3,146
70,38,2026-05-26 19:30:00,Hall 2,150
90,65,2026-05-26 20:00:00,Hall 2,27
33,13,2026-05-26 20:30:00,Hall 3,0
103,67,2026-05-27 13:00:00,IMAX Theatre,59
85,24,2026-05-27 13:30:00,Hall 4 (VIP),146
26,14,2026-05-27 14:00:00,Hall 1 (Dolby Atmos),103
116,95,2026-05-27 14:30:00,IMAX Theatre,120
52,42,2026-05-27 16:00:00,Hall 1 (Dolby Atmos),83
20,62,2026-05-27 17:00:00,Hall 1 (Dolby Atmos),44
7,30,2026-05-27 19:30:00,Hall 2,117
58,49,2026-05-27 22:30:00,Hall 1 (Dolby Atmos),149
139,99,2026-05-28 11:00:00,Hall 2,137
101,81,2026-05-28 13:00:00,IMAX Theatre,58
34,24,2026-05-28 17:30:00,Hall 4 (VIP),64
37,33,2026-05-28 20:00:00,IMAX Theatre,11
31,71,2026-05-28 22:00:00,IMAX Theatre,53
65,66,2026-05-28 22:30:00,Hall 3,103
112,63,2026-05-28 22:30:00,Hall 4 (VIP),2
68,42,2026-05-29 11:00:00,Hall 4 (VIP),118
150,54,2026-05-29 11:00:00,Hall 3,103
54,20,2026-05-29 14:30:00,Hall 4 (VIP),24
62,72,2026-05-29 16:00:00,IMAX Theatre,94
3,93,2026-05-29 16:00:00,Hall 3,30
89,26,2026-05-29 16:00:00,Hall 2,103
42,36,2026-05-29 16:00:00,Hall 2,2
104,7,2026-05-29 17:00:00,Hall 2,86
17,57,2026-05-29 19:30:00,Hall 4 (VIP),48
24,24,2026-05-29 19:30:00,Hall 2,71
144,97,2026-05-29 20:00:00,Hall 3,24
32,95,2026-05-29 20:00:00,Hall 4 (VIP),109
121,38,2026-05-30 16:30:00,Hall 4 (VIP),12
99,75,2026-05-30 20:00:00,Hall 4 (VIP),97
5,63,2026-05-31 11:00:00,Hall 2,51
30,75,2026-05-31 13:30:00,Hall 4 (VIP),56
148,55,2026-05-31 14:00:00,Hall 2,138
97,90,2026-05-31 16:30:00,Hall 1 (Dolby Atmos),49
22,12,2026-05-31 17:00:00,Hall 3,62
145,82,2026-05-31 20:30:00,IMAX Theatre,133
12,7,2026-05-31 20:30:00,Hall 1 (Dolby Atmos),121
72,72,2026-05-31 22:00:00,Hall 4 (VIP),139
119,98,2026-06-01 13:30:00,Hall 3,61
79,33,2026-06-01 14:00:00,Hall 4 (VIP),58
149,57,2026-06-01 14:30:00,IMAX Theatre,121
10,55,2026-06-01 14:30:00,Hall 4 (VIP),25
47,84,2026-06-01 16:00:00,Hall 2,104
73,75,2026-06-01 16:00:00,IMAX Theatre,80
87,18,2026-06-01 16:30:00,Hall 3,89
2,82,2026-06-01 17:30:00,Hall 1 (Dolby Atmos),40
107,96,2026-06-01 20:00:00,Hall 3,47
18,91,2026-06-01 20:30:00,IMAX Theatre,104
96,35,2026-06-01 22:00:00,Hall 1 (Dolby Atmos),139
126,89,2026-06-01 22:30:00,Hall 2,105
50,48,2026-06-02 17:30:00,Hall 1 (Dolby Atmos),17
105,30,2026-06-02 19:30:00,Hall 1 (Dolby Atmos),15
100,63,2026-06-02 22:00:00,Hall 3,83
29,42,2026-06-03 11:00:00,Hall 4 (VIP),128
28,86,2026-06-03 11:00:00,Hall 4 (VIP),119
141,65,2026-06-03 13:00:00,IMAX Theatre,100
143,5,2026-06-03 13:00:00,Hall 1 (Dolby Atmos),111
48,30,2026-06-03 13:30:00,Hall 1 (Dolby Atmos),75
77,1,2026-06-03 14:30:00,Hall 1 (Dolby Atmos),93
98,100,2026-06-03 16:30:00,Hall 2,62
83,20,2026-06-03 16:30:00,Hall 2,87
124,89,2026-06-03 19:30:00,Hall 1 (Dolby Atmos),24
40,81,2026-06-03 19:30:00,Hall 4 (VIP),48
81,65,2026-06-03 20:00:00,IMAX Theatre,40
13,92,2026-06-03 20:30:00,Hall 1 (Dolby Atmos),68
131,11,2026-06-04 11:00:00,Hall 2,43
43,65,2026-06-04 11:30:00,Hall 1 (Dolby Atmos),140
130,20,2026-06-04 13:00:00,Hall 2,11
49,23,2026-06-04 13:00:00,Hall 2,91
123,42,2026-06-04 13:00:00,Hall 3,37
80,94,2026-06-04 13:00:00,Hall 3,17
108,30,2026-06-04 13:30:00,Hall 1 (Dolby Atmos),5
147,21,2026-06-04 14:00:00,Hall 3,131
86,87,2026-06-04 14:30:00,Hall 4 (VIP),104
67,23,2026-06-04 14:30:00,Hall 3,88
6,46,2026-06-04 14:30:00,Hall 2,71
110,35,2026-06-04 16:00:00,Hall 2,33
64,30,2026-06-04 17:00:00,Hall 1 (Dolby Atmos),140
38,84,2026-06-04 17:00:00,Hall 2,81
44,49,2026-06-04 17:30:00,Hall 2,74
21,82,2026-06-04 17:30:00,Hall 2,119
60,58,2026-06-04 19:30:00,Hall 2,85
75,42,2026-06-04 20:00:00,Hall 1 (Dolby Atmos),88
4,86,2026-06-04 22:00:00,Hall 3,131
36,40,2026-06-05 14:30:00,Hall 3,119
25,47,2026-06-05 14:30:00,Hall 1 (Dolby Atmos),31
122,1,2026-06-05 17:00:00,IMAX Theatre,24
109,65,2026-06-05 19:00:00,Hall 2,5
111,35,2026-06-05 19:00:00,Hall 1 (Dolby Atmos),127
142,95,2026-06-05 19:00:00,Hall 3,145
93,96,2026-06-05 19:30:00,Hall 2,70
51,61,2026-06-06 11:00:00,Hall 4 (VIP),69
102,16,2026-06-06 11:30:00,Hall 4 (VIP),15
125,97,2026-06-06 13:00:00,Hall 3,78
