ticket_id,session_id,guest_id,seat_number,ticket_price
1,30,94,J20,18.5
2,57,78,E20,18.5
3,79,88,K6,15.0
4,134,32,J17,15.0
5,70,2,H12,18.5
6,4,60,J2,15.0
7,111,75,G8,18.5
8,36,40,G7,15.0
9,115,51,B20,12.5
10,18,47,K4,15.0
11,146,28,J2,12.5
12,132,26,B9,15.0
13,147,54,H19,18.5
14,118,28,D17,18.5
15,54,96,K5,12.5
16,18,8,A9,12.5
17,142,57,B5,18.5
18,13,36,C3,12.5
19,128,7,J7,15.0
20,107,37,J7,12.5
21,37,46,B6,15.0
22,75,16,J17,18.5
23,36,43,F6,18.5
24,28,10,B20,18.5
25,87,15,B5,15.0
26,30,59,J16,12.5
27,117,95,B3,15.0
28,64,75,H3,15.0
29,116,6,K6,12.5
30,66,66,H1,12.5
31,42,10,A16,18.5
32,8,49,K3,18.5
33,132,52,J12,18.5
34,129,51,C4,18.5
35,30,39,H12,18.5
36,138,74,C3,15.0
37,48,39,E6,18.5
38,51,64,E5,15.0
39,105,71,K9,15.0
40,150,14,C11,12.5
41,89,50,G1,12.5
42,29,68,B14,15.0
43,111,47,J17,15.0
44,99,64,K1,15.0
45,58,96,C15,18.5
46,73,80,C2,12.5
47,79,24,E1,15.0
48,25,57,K4,12.5
49,48,86,E17,18.5
50,63,91,F9,18.5
51,133,61,A1,18.5
52,74,36,G15,18.5
53,17,46,C10,12.5
54,9,100,J17,18.5
55,80,35,D6,18.5
56,24,36,D1,12.5
57,115,29,K9,15.0
58,96,16,J9,18.5
59,78,2,D4,18.5
60,59,30,C2,15.0
61,50,79,J3,15.0
62,85,30,E20,12.5
63,147,83,B13,18.5
64,149,73,J18,18.5
65,109,31,C1,18.5
66,30,16,J14,12.5
67,77,50,J20,18.5
68,78,12,J18,15.0
69,41,57,E2,18.5
70,49,13,H20,15.0
71,144,8,E10,12.5
72,29,84,K20,15.0
73,21,49,E8,18.5
74,86,69,C19,15.0
75,18,61,D16,12.5
76,110,70,B18,15.0
77,86,15,G12,12.5
78,6,96,H15,12.5
79,54,18,E1,15.0
80,128,22,C8,12.5
81,83,80,H1,18.5
82,77,10,F15,18.5
83,43,52,G6,15.0
84,51,65,C5,15.0
85,119,28,G9,15.0
86,83,38,H19,12.5
87,103,97,D6,15.0
88,29,100,B2,18.5
89,137,22,A5,15.0
90,144,81,A7,12.5
91,97,23,D2,12.5
92,107,92,A2,12.5
93,38,78,G14,12.5
94,72,86,C16,18.5
95,86,39,H13,15.0
96,84,43,D11,12.5
97,29,48,F8,12.5
98,43,48,H8,15.0
99,16,11,E4,12.5
100,45,96,B15,18.5
101,131,96,J20,12.5
102,23,27,F17,15.0
103,104,30,J16,18.5
104,64,99,G8,15.0
105,52,79,B6,12.5
106,33,58,C2,12.5
107,18,7,F7,18.5
108,10,61,D19,18.5
109,35,53,G10,15.0
110,94,83,B7,15.0
111,141,71,D10,12.5
112,4,8,E18,18.5
113,127,86,G9,12.5
114,88,4,B20,18.5
115,136,54,J16,12.5
116,79,16,B12,15.0
117,63,78,H7,12.5
118,48,53,C18,15.0
119,148,1,A9,18.5
