ticket_id,event_id,user_id,seat_number,price,status,updated_at
TKT-53-G12-4744ED,53,50,G12,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A20-40C026,91,119,A20,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A1-1E9DCB,91,100,A1,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A2-595367,91,101,A2,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A3-5B7063,91,102,A3,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A6-87AEAD,91,105,A6,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A4-49FD72,91,103,A4,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A7-2BD640,91,106,A7,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A8-2D1A55,91,107,A8,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A9-06A1CC,91,108,A9,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A12-503D13,91,111,A12,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A10-C855CE,91,109,A10,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A13-B373A9,91,112,A13,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A11-4CFCC6,91,110,A11,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A14-7FB332,91,113,A14,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A16-BA33D9,91,115,A16,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A17-30CC93,91,116,A17,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A18-6948AC,91,117,A18,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A19-5E14A8,91,118,A19,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A15-FA982E,91,114,A15,15.00,ACTIVE,2026-08-20 01:40:26
TKT-91-A5-0734E4,91,104,A5,15.00,ACTIVE,2026-08-20 01:40:26
TKT-70-B5-39E627,70,42,B5,15.00,ACTIVE,2026-08-20 01:40:26
TKT-70-B5-39E627,70,42,B5,15.00,CANCELLED,2026-08-20 01:40:26
TKT-70-B5-8C578E,70,88,B5,15.00,ACTIVE,2026-08-20 01:40:26
TKT-56-C10-F41509,56,39,C10,15.00,ACTIVE,2026-08-20 01:40:26
TKT-53-D12-A1D25E,53,5,D12,15.00,ACTIVE,2026-08-20 01:40:58
TKT-53-D12-A1D25E,53,5,D12,15.00,CANCELLED,2026-08-20 01:40:58
TKT-53-G12-379348,53,50,G12,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A20-5B1AB8,91,119,A20,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A3-35AED2,91,102,A3,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A2-D65D91,91,101,A2,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A4-FA8B7E,91,103,A4,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A6-0BA4A6,91,105,A6,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A7-34E9DE,91,106,A7,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A9-8C4761,91,108,A9,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A8-C9FB94,91,107,A8,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A1-6AD741,91,100,A1,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A10-37149D,91,109,A10,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A5-70CD4E,91,104,A5,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A11-0A3F8B,91,110,A11,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A14-F7F8A0,91,113,A14,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A15-22279F,91,114,A15,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A13-88D743,91,112,A13,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A12-9D62AA,91,111,A12,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A17-8CC925,91,116,A17,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A18-872192,91,117,A18,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A19-EB05E7,91,118,A19,15.00,ACTIVE,2026-08-20 01:41:08
TKT-91-A16-30D297,91,115,A16,15.00,ACTIVE,2026-08-20 01:41:08
TKT-70-B5-B802A6,70,42,B5,15.00,ACTIVE,2026-08-20 01:41:08
