event_id,movie_title,screen_time,hall_name,available_seats,genre,runtime_in_min
53,Bohemian Rhapsody,2026-05-26 11:00:00,Hall 2,88,"Biography, Drama, Music",134
92,The Lion King,2026-05-26 11:30:00,IMAX Theatre,138,"Animation, Adventure, Drama",88
74,Star Wars: Episode VI - Return of the Jedi,2026-05-26 11:30:00,Hall 4 (VIP),29,"Action, Adventure, Fantasy",131
129,Big Hero 6,2026-05-26 11:30:00,Hall 4 (VIP),76,"Animation, Action, Adventure",102
56,Star Wars: Episode VII - The Force Awakens,2026-05-26 13:00:00,Hall 2,4,"Action, Adventure, Sci-Fi",138
137,Ratatouille,2026-05-26 14:30:00,Hall 1 (Dolby Atmos),65,"Animation, Adventure, Comedy",111
91,Back to the Future,2026-05-26 16:00:00,Hall 3,146,"Adventure, Comedy, Sci-Fi",116
70,Harry Potter and the Half-Blood Prince,2026-05-26 19:30:00,Hall 2,150,"Action, Adventure, Family",153
90,The Exorcist,2026-05-26 20:00:00,Hall 2,27,Horror,122
33,The Lion King,2026-05-26 20:30:00,Hall 3,0,"Animation, Adventure, Drama",88
103,The Martian,2026-05-27 13:00:00,IMAX Theatre,59,"Adventure, Drama, Sci-Fi",144
85,Zootopia,2026-05-27 13:30:00,Hall 4 (VIP),146,"Animation, Adventure, Comedy",108
26,Toy Story 3,2026-05-27 14:00:00,Hall 1 (Dolby Atmos),103,"Animation, Adventure, Comedy",103
116,Gladiator,2026-05-27 14:30:00,IMAX Theatre,120,"Action, Adventure, Drama",155
52,Inception,2026-05-27 16:00:00,Hall 1 (Dolby Atmos),83,"Action, Adventure, Sci-Fi",148
20,Ghostbusters,2026-05-27 17:00:00,Hall 1 (Dolby Atmos),44,"Action, Comedy, Fantasy",105
7,Iron Man,2026-05-27 19:30:00,Hall 2,117,"Action, Adventure, Sci-Fi",126
58,Shrek,2026-05-27 22:30:00,Hall 1 (Dolby Atmos),149,"Animation, Adventure, Comedy",90
139,Ocean's Eleven,2026-05-28 11:00:00,Hall 2,137,"Crime, Thriller",116
101,Coco,2026-05-28 13:00:00,IMAX Theatre,58,"Animation, Adventure, Family",105
34,Zootopia,2026-05-28 17:30:00,Hall 4 (VIP),64,"Animation, Adventure, Comedy",108
